GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tasklist,by.edu.tasklist.domain.task,Status,0,21,0,0,0,2,0,1,0,1
tasklist,by.edu.tasklist.domain.task,Task,232,43,53,1,1,6,32,12,5,12
tasklist,by.edu.tasklist.domain.task,TaskImage,72,3,14,0,1,1,13,1,6,1
tasklist,by.edu.tasklist.domain,MailType,0,15,0,0,0,3,0,1,0,1
tasklist,by.edu.tasklist.service.props,JwtProperties,75,62,17,1,0,4,14,6,5,6
tasklist,by.edu.tasklist.service.props,MinioProperties,122,73,34,4,0,5,25,7,6,7
tasklist,by.edu.tasklist.service.props,MailProperties,218,0,40,0,6,0,35,0,15,0
tasklist,by.edu.tasklist.domain.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
tasklist,by.edu.tasklist.domain.exception,AccessDeniedException,3,0,0,0,2,0,1,0,1,0
tasklist,by.edu.tasklist.domain.exception,ResourceMappingException,4,0,0,0,2,0,1,0,1,0
tasklist,by.edu.tasklist.domain.exception,ExceptionBody,127,0,22,0,7,0,21,0,10,0
tasklist,by.edu.tasklist.domain.exception,ImageUploadException,4,0,0,0,2,0,1,0,1,0
tasklist,by.edu.tasklist.web.dto.user,UserDto,235,0,46,0,6,0,38,0,15,0
tasklist,by.edu.tasklist.web.security.expression,CustomSecurityExpression,81,0,8,0,17,0,8,0,4,0
tasklist,by.edu.tasklist.web.security.expression,CustomSecurityExceptionHandler,41,0,0,0,11,0,3,0,3,0
tasklist,by.edu.tasklist.web.security.expression,CustomMethodSecurityExpressionRoot,117,0,8,0,25,0,19,0,15,0
tasklist,by.edu.tasklist.domain.user,User,265,50,61,1,1,7,36,14,5,14
tasklist,by.edu.tasklist.domain.user,Role,0,15,0,0,0,2,0,1,0,1
tasklist,by.edu.tasklist.web.dto.task,TaskImageDto,75,0,14,0,2,0,14,0,7,0
tasklist,by.edu.tasklist.web.dto.task,TaskDto,275,0,54,0,7,0,44,0,17,0
tasklist,by.edu.tasklist,TasklistApplication,8,0,0,0,3,0,2,0,2,0
tasklist,by.edu.tasklist.config,ApplicationConfig,177,0,0,0,56,0,12,0,12,0
tasklist,by.edu.tasklist.config,LocalDateTimeCoercing,27,0,0,0,8,0,4,0,4,0
tasklist,by.edu.tasklist.config,MailConfig,37,0,0,0,8,0,2,0,2,0
tasklist,by.edu.tasklist.config,GraphqlConfig,24,0,0,0,9,0,4,0,4,0
tasklist,by.edu.tasklist.web.controller,ControllerAdvice,88,0,0,0,20,0,12,0,12,0
tasklist,by.edu.tasklist.web.controller,AuthController,39,0,0,0,6,0,4,0,4,0
tasklist,by.edu.tasklist.web.controller,UserController,76,0,0,0,13,0,6,0,6,0
tasklist,by.edu.tasklist.web.controller,TaskController,57,0,0,0,11,0,5,0,5,0
tasklist,by.edu.tasklist.service.impl,MailServiceImpl,12,157,1,2,2,37,1,7,0,6
tasklist,by.edu.tasklist.service.impl,AuthServiceImpl,0,68,0,0,0,13,0,3,0,3
tasklist,by.edu.tasklist.service.impl,TaskServiceImpl,3,106,1,3,1,26,1,10,0,9
tasklist,by.edu.tasklist.service.impl,UserServiceImpl,0,140,0,4,0,29,0,13,0,11
tasklist,by.edu.tasklist.service.impl,ReminderImpl,56,0,0,0,11,0,3,0,3,0
tasklist,by.edu.tasklist.service.impl,ImageServiceImpl,121,9,6,0,36,1,8,1,5,1
tasklist,by.edu.tasklist.web.security,JwtTokenFilter,49,0,10,0,17,0,7,0,2,0
tasklist,by.edu.tasklist.web.security,JwtEntity,238,0,46,0,11,0,37,0,14,0
tasklist,by.edu.tasklist.web.security,JwtUserDetailsService,8,6,0,0,2,1,1,1,1,1
tasklist,by.edu.tasklist.web.security,JwtTokenProvider,178,20,4,0,59,3,10,2,8,2
tasklist,by.edu.tasklist.web.security,JwtEntityFactory,31,0,0,0,11,0,3,0,3,0
tasklist,by.edu.tasklist.web.mappers,UserMapperImpl,121,0,12,0,33,0,11,0,5,0
tasklist,by.edu.tasklist.web.mappers,TaskImageMapperImpl,89,0,12,0,25,0,11,0,5,0
tasklist,by.edu.tasklist.web.mappers,TaskMapperImpl,143,0,16,0,39,0,13,0,5,0
tasklist,by.edu.tasklist.web.dto.auth,JwtResponse,159,36,37,1,0,5,22,10,3,10
tasklist,by.edu.tasklist.web.dto.auth,JwtRequest,98,17,22,0,0,3,15,5,4,5
